Category			Species		Count
		Pseudomonas pseudoalcaligenes	330	1	
		Pseudomonas alcaligenes	43263	1	
		Pseudomonas citronellolis	53408	1	
		Pseudomonas putida	303	12	
		Pseudomonas fulva	47880	1	
		Pseudomonas monteilii	76759	2	
		Pseudomonas soli	1306993	1	
		Pseudomonas plecoglossicida	70775	1	
		Pseudomonas oryzihabitans	47885	1	
		Pseudomonas syringae group genomosp. 3	251701	1	
		Pseudomonas syringae	317	2	
		Pseudomonas savastanoi	29438	1	
		Pseudomonas amygdali	47877	1	
		Pseudomonas cichorii	36746	1	
		Pseudomonas avellanae	46257	1	
		Pseudomonas protegens	380021	3	
		Pseudomonas fluorescens	294	8	
		Pseudomonas poae	200451	1	
		Pseudomonas synxantha	47883	1	
		Pseudomonas mandelii	75612	1	
		Pseudomonas trivialis	200450	1	
		Pseudomonas corrugata	47879	1	
		Pseudomonas veronii	76761	1	
		Pseudomonas azotoformans	47878	1	
		Pseudomonas orientalis	76758	1	
		Pseudomonas entomophila	312306	1	
		Pseudomonas stutzeri	316	8	
		Pseudomonas balearica	74829	1	
		Pseudomonas brassicacearum	930166	2	
		Pseudomonas sp. UW4	1207075	1	
		Pseudomonas sp. ATCC 13867	1294143	1	
		Pseudomonas sp. VLB120	69328	1	
		Pseudomonas sp. TKP	1415630	1	
		Pseudomonas knackmussii	65741	1	
		Pseudomonas chlororaphis	587753	3	
		Pseudomonas fragi	296	1	
		Pseudomonas lundensis	86185	1	
		Pseudomonas alkylphenolia	237609	1	
		Pseudomonas rhizosphaerae	216142	1	
		Pseudomonas cremoricolorata	157783	1	
		Pseudomonas parafulva	157782	1	
		Pseudomonas sp. StFLB209	1028989	1	
		Pseudomonas sp. MRSN12121	1611770	1	
		Pseudomonas sp. CCOS 191	1649877	1	
		Pseudomonas versuta	1788301	1	
		Pseudomonas sp. Os17	1500686	1	
		Pseudomonas koreensis	198620	1	
		Pseudomonas frederiksbergensis	104087	1	
		Pseudomonas antarctica	219572	1	
		Pseudomonas psychrotolerans	237610	1	
		Pseudomonas sp. TCU-HL1	1856685	1	
		Pseudomonas silesiensis	1853130	1	
		Azotobacter vinelandii	354	3	
		Azotobacter chroococcum	353	1	
		Oblitimonas alkaliphila	1697053	1	
		Psychrobacter arcticus	334543	1	
		Psychrobacter cryohalolentis	330922	1	
		Psychrobacter sp. PRwf-1	349106	1	
		Psychrobacter sp. G	571800	1	
		Psychrobacter urativorans	45610	1	
		Psychrobacter alimentarius	261164	1	
		Psychrobacter sp. P2G3	1699622	1	
		Psychrobacter sp. P11G5	1699624	1	
		Psychrobacter sp. DAB AL43B		1	
		Psychrobacter sp. AntiMn-1	1720344	1	
		Psychrobacter sp. YP14	2203895	1	
		Acinetobacter baumannii	470	21	
		Acinetobacter pittii	48296	1	
		Acinetobacter nosocomialis	106654	1	
		Acinetobacter lactucae	1785128	1	
		Acinetobacter calcoaceticus	471	1	
		Acinetobacter oleivorans	1148157	1	
		Acinetobacter sp. ADP1	62977	1	
		Acinetobacter sp. TTH0-4	1646498	1	
		Acinetobacter equi	1324350	1	
		Acinetobacter johnsonii	40214	1	
		Acinetobacter sp. DUT-2	1809055	1	
		Acinetobacter sp. TGL-Y2	1407071	1	
		Acinetobacter haemolyticus	29430	1	
		Acinetobacter junii	40215	1	
		Acinetobacter soli	487316	1	
		Acinetobacter larvae	1789224	1	
		Acinetobacter schindleri	108981	1	
		Acinetobacter indicus	756892	1	
		Acinetobacter defluvii	1871111	1	
		Acinetobacter radioresistens	40216	1	
		Moraxella catarrhalis	480	3	
		Moraxella ovis	29433	1	
		Moraxella osloensis	34062	1	
		Moraxella bovoculi	386891	1	
		Moraxella bovis	476	1	
		Moraxellaceae bacterium HYN0046	2283318	1	
		Shewanella oneidensis	70863	1	
		Shewanella denitrificans	192073	1	
		Shewanella frigidimarina	56812	1	
		Shewanella amazonensis	60478	1	
		Shewanella baltica	62322	7	
		Shewanella loihica	359303	1	
		Shewanella putrefaciens	24	2	
		Shewanella sediminis	271097	1	
		Shewanella pealeana	70864	1	
		Shewanella sp. MR-4	60480	1	
		Shewanella sp. MR-7	60481	1	
		Shewanella sp. ANA-3	94122	1	
		Shewanella sp. W3-18-1	351745	1	
		Shewanella halifaxensis	271098	1	
		Shewanella woodyi	60961	1	
		Shewanella piezotolerans	404011	1	
		Shewanella violacea	60217	1	
		Shewanella sp. FDAARGOS 354		1	
		Shewanella japonica	93973	1	
		Shewanella psychrophila	225848	1	
		Shewanella bicestrii	2018305	1	
		Shewanella marisflavi	260364	1	
		Shewanella sp. WE21	2029986	1	
		Shewanella algae	38313	1	
		Idiomarina loihiensis	135577	2	
		Idiomarina piscisalsi	1096243	1	
		Idiomarina sp. X4	2055892	1	
		Idiomarina sp. OT37-5b	2100422	1	
		Colwellia psychrerythraea	28229	1	
		Colwellia sp. MT41	58049	1	
		Colwellia sp. PAMC 20917	1816218	1	
		Colwellia sp. PAMC 21821	1816219	1	
		Colwellia sp. Arc7-D	2161872	1	
		Colwellia beringensis	1967665	1	
		Pseudoalteromonas haloplanktis	228	1	
		Pseudoalteromonas atlantica	288	1	
		Pseudoalteromonas sp. SM9913	234831	1	
		Pseudoalteromonas sp. OCN003	1348114	1	
		Pseudoalteromonas issachenkonii	152297	1	
		Pseudoalteromonas phenolica	161398	1	
		Pseudoalteromonas sp. Bsw20308	283699	1	
		Pseudoalteromonas rubra	43658	1	
		Pseudoalteromonas translucida	166935	1	
		Pseudoalteromonas luteoviolacea	43657	1	
		Pseudoalteromonas aliena	247523	1	
		Pseudoalteromonas piscicida	43662	1	
		Pseudoalteromonas espejiana	28107	1	
		Pseudoalteromonas spongiae	298657	1	
		Pseudoalteromonas arctica	394751	1	
		Pseudoalteromonas tunicata	314281	1	
		Pseudoalteromonas nigrifaciens	28109	1	
		Pseudoalteromonas tetraodonis	43659	1	
		Pseudoalteromonas sp. NC201	1514074	1	
		Marinobacter hydrocarbonoclasticus	2743	2	
		Marinobacter adhaerens	1033846	1	
		Marinobacter sp. BSs20148	490759	1	
		Marinobacter salarius	1420917	1	
		Marinobacter similis	1420916	1	
		Marinobacter psychrophilus	330734	1	
		Marinobacter sp. CP1	1671721	1	
		Marinobacter sp. LQ44	1749259	1	
		Marinobacter salinus	1874317	1	
		Marinobacter sp. Arc7-DN-1	2304594	1	
		Alteromonas mediterranea	314275	9	
		Alteromonas macleodii	28108	4	
		Alteromonas sp. SN2	715451	1	
		Alteromonas australica	589873	2	
		Alteromonas stellipolaris	233316	2	
		Alteromonas addita	287094	1	
		Alteromonas sp. RKMC-009	2267264	1	
		Alteromonas sp. Mac1	1777491	1	
		Glaciecola sp. 4H-3-7+YE-5	983545	1	
		Glaciecola nitratireducens	300231	1	
		Paraglaciecola psychrophila	326544	1	
		Lacimicrobium alkaliphilum	1526571	1	
		Catenovulum sp. CCB-QB4	2172099	1	
		Salinimonas sp. HMF8227	2183582	1	
		Salinimonas sp. N102	2303538	1	
		Psychromonas ingrahamii	357794	1	
		Psychromonas sp. CNPT3	314282	1	
		Ferrimonas balearica	44012	1	
		Moritella viscosa	80854	1	
		Moritella yayanosii	69539	1	
		Cellvibrio japonicus	155077	1	
		Cellvibrio sp. PSBB023	1945512	1	
		Cellvibrio sp. PSBB006	1987723	1	
		Saccharophagus degradans	86304	1	
		Teredinibacter turnerae	2426	1	
		Simiduia agarivorans	447471	1	
		Spongiibacter sp. IMCC21906	1620392	1	
		Zhongshania aliphaticivorans	1470434	1	
		Oceanicoccus sagamiensis	716816	1	
		Microbulbifer thermotolerans	252514	1	
		Microbulbifer sp. CCB-MM1	1769779	1	
		Microbulbifer agarilyticus	260552	1	
		Microbulbifer sp. A4B17	359370	1	
		Halioglobus japonicus	930805	1	
		Coxiella burnetii	777	5	
		Coxiella endosymbiont of Amblyomma americanum	325775	1	
		Candidatus Coxiella mudrowiae	2054173	1	
		Legionella pneumophila	446	10	
		Legionella longbeachae	450	1	
		Legionella fallonii	96230	1	
		Legionella hackeliae	449	1	
		Legionella oakridgensis	29423	1	
		Legionella clemsonensis	1867846	1	
		Legionella endosymbiont of Polyplax serrata	2005262	1	
		Legionella sainthelensi	28087	1	
		Legionella lansingensis	45067	1	
		Tatlockia micdadei	451	1	
		Methylococcus capsulatus	414	1	
		Methylomonas methanica	421	1	
		Methylomonas denitrificans	1538553	1	
		Methylomonas sp. DH-1	1727196	1	
		Methylomonas koyamae	702114	1	
		Methylomicrobium alcaliphilum	271065	1	
		Methylovulum psychrotolerans	1704499	1	
		Methylocaldum marinum	1432792	1	
		Francisella tularensis	263	22	
		Francisella hispaniensis	622488	2	
		Francisella philomiragia	28110	7	
		Francisella sp. TX077308	573569	1	
		Francisella noatunensis	657445	2	
		Francisella sp. FSC1006	1547445	1	
		Francisella persica	954	1	
		Francisella halioticida	549298	1	
		Francisella sp. TX077310	573570	1	
		Francisella sp. MA067296	475375	1	
		Francisella sp. CA97-1460	1542390	1	
		Allofrancisella guangzhouensis	594679	1	
		Hydrogenovibrio crunogenus	39765	1	
		Thiomicrospira cyclica	147268	1	
		Thiomicrospira aerophila	92245	1	
		Methylophaga nitratireducenticrescens	754476	1	
		Methylophaga frappieri	754477	1	
		Cycloclasticus sp. P1	385025	1	
		Cycloclasticus zancles	1329899	1	
		Cycloclasticus sp. PY97N	728003	1	
		Piscirickettsia salmonis	1238	1	
		Thioploca ingrica	40754	1	
		Beggiatoa leptomitoformis	288004	1	
		Nitrosococcus oceani	1229	1	
		Nitrosococcus halophilus	133539	1	
		Nitrosococcus watsonii	473531	1	
		Allochromatium vinosum	1049	1	
		Thiocystis violascens	73141	1	
		Thioflavicoccus mobilis	80679	1	
		Marichromatium purpuratum	37487	1	
		Candidatus Tenderia electrophaga	1748243	1	
		Candidatus Nitrosoglobus terrae	1630141	1	
		Candidatus Thiodictyon syntrophicum	1166950	1	
		Alkalilimnicola ehrlichii	351052	1	
		Halorhodospira halophila	1053	1	
		Halorhodospira halochloris	1052	1	
		Thioalkalivibrio sulfidophilus	1033854	1	
		Thioalkalivibrio sp. K90mix	396595	1	
		Thioalkalivibrio nitratireducens	186931	1	
		Thioalkalivibrio paradoxus	108010	1	
		Thioalkalivibrio versutus	106634	1	
		Spiribacter salinus	1335746	1	
		Spiribacter sp. UAH-SP71	1335757	1	
		Ectothiorhodospira sp. BSL-9	1442136	1	
		Acidihalobacter prosperus	160660	1	
		Halothiobacillus neapolitanus	927	1	
		Halothiobacillus sp. LS2	1860122	1	
		Wenzhouxiangella marina	1579979	1	
		Woeseia oceani	1548547	1	
		Granulosicoccus antarcticus	437505	1	
		Hahella chejuensis	158327	1	
		Chromohalobacter salexigens	158080	1	
		Halomonas elongata	2746	1	
		Halomonas campaniensis	213554	1	
		Halomonas sp. KO116	1504981	1	
		Halomonas sp. R57-5	1610576	1	
		Halomonas huangheensis	1178482	1	
		Halomonas chromatireducens	507626	1	
		Halomonas aestuarii	1897729	1	
		Halomonas sp. 1513	1883416	1	
		Halomonas hydrothermalis	115561	1	
		Halomonas beimenensis	475662	1	
		Halomonas sp. GFAJ-1	1118153	1	
		Halomonas sp. SF2003	2136172	1	
		Halomonas alkaliphila	272774	1	
		Candidatus Portiera aleyrodidarum	91844	9	
		Candidatus Carsonella ruddii	114186	7	
		Candidatus Evansia muelleri	1495769	1	
		Zymobacter palmae	33074	1	
		Halotalea alkalilenta	376489	1	
		Cobetia marina	28258	1	
		Kushneria konosiri	698828	1	
		Kushneria marisflavi	157779	1	
		Alcanivorax borkumensis	59754	1	
		Alcanivorax dieselolei	285091	1	
		Alcanivorax pacificus	1306787	1	
		Alcanivorax sp. NBRC 101098	1113728	1	
		Alcanivorax xenomutans	1094342	1	
		Ketobacter alkanivorans	1917421	1	
		Kangiella koreensis	261964	1	
		Kangiella geojedonensis	914150	1	
		Kangiella sediminilitoris	1144748	1	
		Kangiella profundi	1561924	1	
		Marinomonas sp. MWYL1	400668	1	
		Marinomonas mediterranea	119864	1	
		Marinomonas posidonica	936476	1	
		Thalassolituus oleivorans	187493	2	
		Oleispira antarctica	188908	1	
		Marinobacterium aestuarii	1821621	1	
		Bacterioplanes sanyensis	1249553	1	
		Gynuella sunshinyii	1445505	1	
		Reinekea forsetii	1336806	1	
		Oleiphilus messinensis	141451	1	
		Aeromonas hydrophila	644	9	
		Aeromonas salmonicida	645	2	
		Aeromonas veronii	654	2	
		Aeromonas media	651	1	
		Aeromonas schubertii	652	1	
		Aeromonas dhakensis	196024	1	
		Aeromonas caviae	648	1	
		Aeromonas sp. CU5	2033033	1	
		Aeromonas sp. ASNIH3	1636608	1	
		Aeromonas rivipollensis	948519	1	
		Tolumonas auensis	43948	1	
		Oceanimonas sp. GK1	511062	1	
		Oceanisphaera avium	1903694	1	
		Oceanisphaera profunda	1416627	1	
		Zobellella denitrificans	347534	1	
		Dichelobacter nodosus	870	1	
		Gilliamella apicola	1196095	1	
		Frischella perrara	1267021	1	
		Steroidobacter denitrificans	465721	1	
		Solimonas sp. K1W22B-7	2303331	1	
		Immundisolibacter cernigliae	1810504	1	
		Sulfuricaulis limicola	1620215	1	
		Sulfurifustis variabilis	1675686	1	
		Acidiferrobacter sp. SPIII 3		1	
		Salinisphaera sp. LB1	2183911	1	
		Thiolapillus brandeum	1076588	1	
		Sedimenticola thiotaurini	1543721	1	
		Candidatus Thioglobus singularis	1427364	1	
		Candidatus Thioglobus autotrophicus	1705394	1	
		Pseudohongiella spirulinae	1249552	1	
		Thiohalobacter thiocyanaticus	585455	1	
		Candidatus Ruthia magnifica	386487	1	
		Calyptogena okutanii thioautotrophic gill symbiont	410330	1	
		Bathymodiolus septemdierum thioautotrophic gill symbiont	113267	1	
		Candidatus Baumannia cicadellinicola	186490	3	
		gamma proteobacterium HdN1	83406	1	
		endosymbiont of unidentified scaly snail isolate Monju	1248727	1	
	Betaproteobacteria	Neisseria meningitidis	487	15	
		Neisseria gonorrhoeae	485	2	
		Neisseria lactamica	486	1	
		Neisseria elongata	495	1	
		Neisseria weaveri	28091	1	
		Neisseria sicca	490	1	
		Neisseria mucosa	488	1	
		Neisseria sp. 10023	1853278	1	
		Snodgrassella alvi	1196083	1	
		Kingella kingae	504	1	
		Vitreoscilla filiformis	63	1	
		Vitreoscilla sp. C1	96942	1	
		Eikenella corrodens	539	1	
		Simonsiella muelleri	72	1	
		Neisseriaceae bacterium DSM 100970	2052837	1	
		Chromobacterium violaceum	536	1	
		Chromobacterium vaccinii	1108595	1	
		Chromobacterium sp. ATCC 53434	2059672	1	
		Chromobacterium sp. IIBBL 112-1	2202141	1	
		Chromobacterium rhizoryzae	1778675	1	
		Laribacter hongkongensis	168471	1	
		Pseudogulbenkiania sp. NH8B	748280	1	
		Jeongeupia sp. USM3	1906741	1	
		Aquaspirillum sp. LM1	1938604	1	
		Aquitalea magnusonii	332411	1	
		Ralstonia solanacearum	305	6	
		Ralstonia pickettii	329	3	
		Ralstonia mannitolilytica	105219	1	
		Ralstonia insidiosa	190721	1	
		Ralstonia pseudosolanacearum	1310165	1	
		Cupriavidus pinatubonensis	248026	1	
		Cupriavidus necator	106590	3	
		Cupriavidus metallidurans	119219	1	
		Cupriavidus taiwanensis	164546	1	
		Cupriavidus basilensis	68895	1	
		Cupriavidus gilardii	82541	1	
		Cupriavidus sp. USMAHM13	1389192	1	
		Cupriavidus sp. USMAA1020	367825	1	
		Cupriavidus sp. USMAA2-4	876364	1	
		Burkholderia mallei	13373	11	
		Burkholderia pseudomallei	28450	16	
		Burkholderia thailandensis	57975	10	
		Burkholderia oklahomensis	342113	2	
		Burkholderia vietnamiensis	60552	2	
		Burkholderia lata	482957	1	
		Burkholderia cenocepacia	95486	7	
		Burkholderia ambifaria	152480	2	
		Burkholderia multivorans	87883	4	
		Burkholderia cepacia	292	3	
		Burkholderia dolosa	152500	1	
		Burkholderia pyrrocinia	60550	1	
		Burkholderia contaminans	488447	1	
		Burkholderia ubonensis	101571	1	
		Burkholderia diffusa	488732	1	
		Burkholderia latens	488446	1	
		Burkholderia territorii	1503055	1	
		Burkholderia seminalis	488731	1	
		Burkholderia pseudomultivorans	1207504	1	
		Burkholderia metallica	488729	1	
		Burkholderia stagnalis	1503054	1	
		Burkholderia stabilis	95485	1	
		Burkholderia glumae	337	2	
		Burkholderia sp. CCGE1001	640510	1	
		Burkholderia sp. CCGE1002	640511	1	
		Burkholderia sp. CCGE1003	640512	1	
		Burkholderia gladioli	28095	2	
		Burkholderia sp. YI23	1097668	1	
		Burkholderia sp. KJ006	416344	1	
		Burkholderia sp. RPE64	758793	1	
		Burkholderia sp. RPE67	758796	1	
		Burkholderia sp. 2002721687	1468409	1	
		Burkholderia sp. HB1	1678678	1	
		Burkholderia plantarii	41899	2	
		Burkholderia sp. Bp5365	1740162	1	
		Burkholderia sp. OLGA172	1804984	1	
		Burkholderia sp. PAMC 26561	1795043	1	
		Burkholderia sp. PAMC 28687	1795874	1	
		Paraburkholderia xenovorans	36873	2	
		Paraburkholderia phymatum	148447	1	
		Paraburkholderia rhizoxinica	412963	1	
		Burkholderia phenoliruptrix	252970	1	
		Paraburkholderia phytofirmans	261302	1	
		Paraburkholderia fungorum	134537	1	
		Paraburkholderia caribensis	75105	1	
		Paraburkholderia sprentiae	948107	1	
		Paraburkholderia sp. SOS3	1926494	1	
		Paraburkholderia aromaticivorans	2026199	1	
		Paraburkholderia hospita	169430	1	
		Paraburkholderia terrae	311230	1	
		Paraburkholderia graminis	60548	1	
		Polynucleobacter asymbioticus	576611	1	
		Polynucleobacter necessarius	576610	1	
		Polynucleobacter duraquae	1835254	1	
		Polynucleobacter sp. MWH-Creno-4B4	1743172	1	
		Pandoraea pnomenusa	93220	4	
		Pandoraea pulmonicola	93221	1	
		Pandoraea sputorum	93222	1	
		Pandoraea apista	93218	1	
		Pandoraea vervacti	656178	1	
		Pandoraea oxalativorans	573737	1	
		Pandoraea thiooxydans	445709	1	
		Pandoraea faecigallinarum	656179	1	
		Pandoraea norimbergensis	93219	1	
		Paucimonas lemoignei	29443	1	
		Hydromonas sp. F02	2268024	1	
		Bordetella pertussis	520	5	
		Bordetella parapertussis	519	2	
		Bordetella bronchiseptica	518	4	
		Bordetella petrii	94624	1	
		Bordetella avium	521	1	
		Bordetella holmesii	35814	2	
		Bordetella hinzii	103855	1	
		Bordetella trematum	123899	1	
		Bordetella bronchialis	463025	1	
		Bordetella flabilis	463014	1	
		Bordetella pseudohinzii	1331258	1	
		Bordetella sp. H567	1697043	1	
		Bordetella genomosp. 13	463040	1	
		Bordetella sp. HZ20	2163011	1	
		Achromobacter xylosoxidans	85698	4	
		Achromobacter denitrificans	32002	1	
		Achromobacter insolitus	217204	1	
		Achromobacter spanius	217203	1	
		Achromobacter sp. AONIH1	1758194	1	
		Achromobacter sp. B7	2282475	1	
		Taylorella equigenitalis	29575	3	
		Taylorella asinigenitalis	84590	2	
		Pusillimonas sp. T7-7	1007105	1	
		Advenella kashmirensis	310575	1	
		Advenella mimigardefordensis	302406	1	
		Castellaniella defragrans	75697	1	
		Basilea psittacipulmonis	1472345	1	
		Alcaligenes faecalis	511	2	
		Alcaligenes aquatilis	323284	1	
		Paenalcaligenes hominis	643674	1	
		Orrella dioscoreae	1851544	1	
		Oligella urethralis	90245	1	
		Pigmentiphaga sp. H8	2488560	1	
		Rhodoferax ferrireducens	192843	1	
		Rhodoferax saidenbachensis	1484693	1	
		Rhodoferax antarcticus	81479	1	
		Rhodoferax sp. DCY110	1842727	1	
		Polaromonas sp. JS666	296591	1	
		Polaromonas naphthalenivorans	216465	1	
		Polaromonas sp. SP1	2268087	1	
		Acidovorax citrulli	80869	1	
		Acidovorax sp. JS42	232721	1	
		Acidovorax ebreus	721785	1	
		Acidovorax avenae	80867	1	
		Acidovorax sp. KKS102	358220	1	
		Acidovorax sp. RAC01	1842533	1	
		Acidovorax carolinensis	553814	4	
		Acidovorax sp. 1608163	2478662	1	
		Verminephrobacter eiseniae	364317	1	
		Delftia acidovorans	80866	1	
		Delftia sp. Cs1-4	742013	1	
		Delftia tsuruhatensis	180282	1	
		Delftia sp. HK171	1920191	1	
		Variovorax paradoxus	34073	3	
		Variovorax sp. PAMC 28711	1795631	1	
		Variovorax boronicumulans	436515	1	
		Variovorax sp. PMC12	2126319	1	
		Comamonas thiooxydans	363952	1	
		Comamonas testosteroni	285	1	
		Comamonas kerstersii	225992	1	
		Comamonas serinivorans	1082851	1	
		Alicycliphilus denitrificans	179636	2	
		Ramlibacter tataouinensis	94132	1	
		Candidatus Symbiobacter mobilis	1436290	1	
		Ottowia sp. oral taxon 894	1658672	1	
		Ottowia oryzae	2109914	1	
		Limnohabitans sp. 103DPR2	1678129	1	
		Limnohabitans sp. 63ED37-2	1678128	1	
		Hydrogenophaga sp. RAC07	1842537	1	
		Hydrogenophaga sp. PBC	795665	1	
		Hydrogenophaga sp. LPB0072	1763535	1	
		Diaphorobacter polyhydroxybutyrativorans	1546149	1	
		Simplicispira suum	2109915	1	
		Melaminivora sp. SC2-7	2116657	1	
		Melaminivora sp. SC2-9	2109913	1	
		Serpentinomonas raichei	1458425	1	
		Serpentinomonas mccroryi	1458426	1	
		Methylibium petroleiphilum	105560	1	
		Herminiimonas arsenicoxydans	204773	1	
		Janthinobacterium sp. Marseille	375286	1	
		Janthinobacterium agaricidamnosum	55508	1	
		Janthinobacterium sp. B9-8	1236179	1	
		Janthinobacterium sp. 1 2014MBL_MicDiv		1	
		Janthinobacterium sp. LM6	1938606	1	
		Janthinobacterium svalbardensis	368607	1	
		Herbaspirillum seropedicae	964	2	
		Herbaspirillum hiltneri	341045	1	
		Herbaspirillum rubrisubalbicans	80842	1	
		Herbaspirillum sp. meg3	2025949	1	
		Candidatus Zinderia insecticola	884215	1	
		Collimonas fungivorans	158899	1	
		Collimonas arenae	279058	1	
		Collimonas pratensis	279113	1	
		Massilia sp. NR 4-1	1678028	1	
		Massilia sp. WG5	1707785	1	
		Massilia violaceinigra	2045208	1	
		Massilia armeniaca	2072590	1	
		Massilia oculi	945844	1	
		Massilia sp. YMA4	1593482	1	
		Oxalobacter formigenes	847	1	
		Sutterella sp. 6FBBBH3	2259134	1	
		Leptothrix cholodnii	34029	1	
		Thiomonas intermedia	926	1	
		Thiomonas arsenitoxydans	426114	1	
		Rubrivivax gelatinosus	28068	1	
		Rubrivivax benzoatilyticus	316997	1	
		Roseateles depolymerans	76731	1	
		Paucibacter sp. KCTC 42545	1768242	1	
		Mitsuaria sp. 7	1658665	1	
		Rhizobacter gummiphilus	946333	1	
		Aquabacterium olei	1296669	1	
		Burkholderiales bacterium GJ-E10	1469502	1	
		Burkholderiales bacterium YL45	1834205	1	
		[Polyangium] brachysporum	413882	1	
		Nitrosomonas europaea	915	1	
		Nitrosomonas eutropha	916	1	
		Nitrosomonas sp. AL212	153948	1	
		Nitrosomonas sp. Is79A3	261292	1	
		Nitrosomonas communis	44574	1	
		Nitrosomonas ureae	44577	1	
		Nitrosospira multiformis	1231	1	
		Nitrosospira lacus	1288494	1	
		Sulfuritalea hydrogenivorans	748811	1	
		Methyloversatilis sp. RAC08	1842540	1	
		Thiobacillus denitrificans	36861	1	
		Methylobacillus flagellatus	405	1	
		Methylotenera mobilis	359408	1	
		Methylotenera versatilis	1055487	1	
		Methylovorus glucosotrophus	266009	1	
		Methylovorus sp. MP688	887061	1	
		Candidatus Methylopumilus turicensis	1581680	1	
		Candidatus Methylopumilus planktonicus	1581557	1	
		Methylophilus sp. TWE2	1662285	1	
		Sideroxydans lithotrophicus	63745	1	
		Gallionella capsiferriformans	370405	1	
		Sulfuricella denitrificans	649841	1	
		Sulfuriferula sp. AH1	1985873	1	
		Ferriphaselus amnicola	1188319	1	
		Aromatoleum aromaticum	551760	1	
		Azospira oryzae	146939	1	
		Rugosibacter aromaticivorans	1565605	1	
		Rhodocyclaceae bacterium	1898103	1	
		Dechloromonas aromatica	259537	1	
		Dechloromonas sp. HYN0024	2231055	1	
		Azoarcus sp. BH72	62928	1	
		Azoarcus sp. KH32C	748247	1	
		Azoarcus sp. CIB	198107	1	
		Azoarcus olearius	418699	1	
		Azoarcus sp. SY39	2067960	1	
		Azoarcus communis	41977	1	
		Azoarcus sp. DN11	356837	1	
		Thauera sp. MZ1T	85643	1	
		Thauera humireducens	1134435	1	
		Thauera chlorobenzoica	96773	1	
		Thauera sp. K11	2005884	1	
		Thauera aromatica	59405	1	
		Zoogloeaceae bacteirum Par-f-2	2080469	1	
		Candidatus Accumulibacter phosphatis	327160	1	
		Candidatus Tremblaya princeps	189385	2	
		Candidatus Tremblaya phenacola	1010676	1	
		Candidatus Kinetoplastibacterium crithidii	33056	2	
		Candidatus Kinetoplastibacterium blastocrithidii	233181	2	
		Candidatus Kinetoplastibacterium desouzaii	994692	1	
		Candidatus Kinetoplastibacterium galatii	994695	1	
		Candidatus Kinetoplastibacterium oncopeltii	994696	1	
		Candidatus Kinetoplastibacterium sorsogonicusi	1576550	1	
		Candidatus Profftella armatura	669502	1	
		Candidatus Nasuia deltocephalinicola	1160784	1	
		Candidatus Vidania fulgoroideae	881286	1	
		beta proteobacterium CB	543913	1	
		Betaproteobacteria bacterium UKL13-2	1690485	1	
		Betaproteobacteria bacterium GR16-43	1904640	1	
	Epsilonproteobacteria	Helicobacter pylori	210	61	
		Helicobacter hepaticus	32025	1	
		Helicobacter acinonychis	212	1	
		Helicobacter mustelae	217	1	
		Helicobacter felis	214	1	
		Helicobacter bizzozeronii	56877	1	
		Helicobacter cetorum	138563	2	
		Helicobacter cinaedi	213	2	
		Helicobacter heilmannii	35817	1	
		Helicobacter typhlonius	76936	1	
		Helicobacter bilis	37372	1	
		Helicobacter apodemus	135569	1	
		Wolinella succinogenes	844	1	
		Sulfurimonas denitrificans	39766	1	
		Sulfurimonas autotrophica	202747	1	
		Sulfuricurvum kujiense	148813	1	
		Candidatus Sulfuricurvum sp. RIFRC-1	1249480	1	
		Campylobacter jejuni	197	23	
		Campylobacter fetus	196	7	
		Campylobacter curvus	200	1	
		Campylobacter hominis	76517	1	
		Campylobacter concisus	199	2	
		Campylobacter lari	201	6	
		Campylobacter coli	195	8	
		Campylobacter iguaniorum	1244531	1	
		Campylobacter insulaenigrae	260714	1	
		Campylobacter volucris	1031542	1	
		Campylobacter peloridis	488546	1	
		Campylobacter sp. RM16704	1500960	1	
		Campylobacter subantarcticus	497724	2	
		Campylobacter gracilis	824	1	
		Campylobacter ureolyticus	827	1	
		Campylobacter hyointestinalis	198	1	
		Campylobacter helveticus	28898	1	
		Campylobacter sputorum	206	1	
		Campylobacter pinnipediorum	1965231	1	
		Campylobacter cuniculorum	374106	1	
		Campylobacter lanienae	75658	1	
		Campylobacter avium	522485	1	
		Campylobacter hepaticus	1813019	1	
		Arcobacter butzleri	28197	3	
		Arcobacter nitrofigilis	28199	1	
		Arcobacter sp. L	944547	1	
		Arcobacter sp. LPB0137	1850254	1	
		Sulfurospirillum deleyianum	65553	1	
		Sulfurospirillum barnesii	44674	1	
		Sulfurospirillum multivorans	66821	1	
		Sulfurospirillum halorespirans	194424	1	
		Sulfurospirillum sp. SL2-1	1986224	1	
		Sulfurospirillum sp. JPD-1	220622	1	
		Nitratifractor salsuginis	269261	1	
		Nitratiruptor sp. SB155-2	387092	1	
		Sulfurovum sp. NBC37-1	387093	1	
		Sulfurovum lithotrophicum	206403	1	
		Nautilia profundicola	244787	1	
	Deltaproteobacteria	Geobacter sulfurreducens	35554	2	
		Geobacter metallireducens	28232	1	
		Geobacter uraniireducens	351604	1	
		Geobacter lovleyi	313985	1	
		Geobacter bemidjiensis	225194	1	
		Geobacter daltonii	1203471	1	
		Geobacter sp. M21	443144	1	
		Geobacter sp. M18	443143	1	
		Geobacter pickeringii	345632	1	
		Geobacter anodireducens	1340425	1	
