Name_of_pre.generated_SBGN_file	pathway.database	PATHWAY_URI	sub.database	pathway.id	DISPLAY_NAME
http___identifiers.org_panther.pathway_P00031.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00031	panther.pathway	P00031	Inflammation mediated by chemokine and cytokine signaling pathway
http___identifiers.org_panther.pathway_P00032.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00032	panther.pathway	P00032	Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade
http___identifiers.org_panther.pathway_P00033.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00033	panther.pathway	P00033	Insulin/IGF pathway-protein kinase B signaling cascade
http___identifiers.org_panther.pathway_P00034.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00034	panther.pathway	P00034	Integrin signalling pathway
http___identifiers.org_panther.pathway_P00035.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00035	panther.pathway	P00035	Interferon-gamma signaling pathway
http___identifiers.org_panther.pathway_P00036.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00036	panther.pathway	P00036	Interleukin signaling pathway
http___identifiers.org_panther.pathway_P00037.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00037	panther.pathway	P00037	Ionotropic glutamate receptor pathway
http___identifiers.org_panther.pathway_P00038.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00038	panther.pathway	P00038	JAK/STAT signaling pathway
http___identifiers.org_panther.pathway_P00039.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00039	panther.pathway	P00039	Metabotropic glutamate receptor group III pathway
http___identifiers.org_panther.pathway_P00040.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00040	panther.pathway	P00040	Metabotropic glutamate receptor group II pathway
http___identifiers.org_panther.pathway_P00041.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00041	panther.pathway	P00041	Metabotropic glutamate receptor group I pathway
http___identifiers.org_panther.pathway_P00042.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00042	panther.pathway	P00042	Muscarinic acetylcholine receptor 1 and 3 signaling pathway
http___identifiers.org_panther.pathway_P00043.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00043	panther.pathway	P00043	Muscarinic acetylcholine receptor 2 and 4 signaling pathway
http___identifiers.org_panther.pathway_P00044.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00044	panther.pathway	P00044	Nicotinic acetylcholine receptor signaling pathway
http___identifiers.org_panther.pathway_P00045.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00045	panther.pathway	P00045	Notch signaling pathway
http___identifiers.org_panther.pathway_P00046.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00046	panther.pathway	P00046	Oxidative stress response
http___identifiers.org_panther.pathway_P00047.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00047	panther.pathway	P00047	PDGF signaling pathway
http___identifiers.org_panther.pathway_P00048.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00048	panther.pathway	P00048	PI3 kinase pathway
http___identifiers.org_panther.pathway_P00049.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00049	panther.pathway	P00049	Parkinson disease
http___identifiers.org_panther.pathway_P00050.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00050	panther.pathway	P00050	Plasminogen activating cascade
http___identifiers.org_panther.pathway_P00051.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00051	panther.pathway	P00051	TCA cycle
http___identifiers.org_panther.pathway_P00052.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00052	panther.pathway	P00052	TGF-beta signaling pathway
http___identifiers.org_panther.pathway_P00053.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00053	panther.pathway	P00053	T cell activation
http___identifiers.org_panther.pathway_P00054.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00054	panther.pathway	P00054	Toll receptor signaling pathway
http___identifiers.org_panther.pathway_P00055.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00055	panther.pathway	P00055	Transcription regulation by bZIP transcription factor
http___identifiers.org_panther.pathway_P00056.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00056	panther.pathway	P00056	VEGF signaling pathway
http___identifiers.org_panther.pathway_P00057.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00057	panther.pathway	P00057	Wnt signaling pathway
http___identifiers.org_panther.pathway_P00058.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00058	panther.pathway	P00058	mRNA splicing
http___identifiers.org_panther.pathway_P00059.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00059	panther.pathway	P00059	p53 pathway
http___identifiers.org_panther.pathway_P00060.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00060	panther.pathway	P00060	Ubiquitin proteasome pathway
http___identifiers.org_panther.pathway_P02721.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02721	panther.pathway	P02721	ATP synthesis
http___identifiers.org_panther.pathway_P02722.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02722	panther.pathway	P02722	Acetate utilization
http___identifiers.org_panther.pathway_P02723.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02723	panther.pathway	P02723	Adenine and hypoxanthine salvage pathway
http___identifiers.org_panther.pathway_P02724.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02724	panther.pathway	P02724	Alanine biosynthesis
http___identifiers.org_panther.pathway_P02725.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02725	panther.pathway	P02725	Allantoin degradation
http___identifiers.org_panther.pathway_P02726.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02726	panther.pathway	P02726	Aminobutyrate degradation
http___identifiers.org_panther.pathway_P02727.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02727	panther.pathway	P02727	Androgen/estrogene/progesterone biosynthesis
http___identifiers.org_panther.pathway_P02728.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02728	panther.pathway	P02728	Arginine biosynthesis
http___identifiers.org_panther.pathway_P02729.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02729	panther.pathway	P02729	Ascorbate degradation
http___identifiers.org_panther.pathway_P02730.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02730	panther.pathway	P02730	Asparagine and aspartate biosynthesis
http___identifiers.org_panther.pathway_P02736.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02736	panther.pathway	P02736	Coenzyme A biosynthesis
http___identifiers.org_panther.pathway_P02737.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02737	panther.pathway	P02737	Cysteine biosynthesis
http___identifiers.org_panther.pathway_P02738.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02738	panther.pathway	P02738	De novo purine biosynthesis
http___identifiers.org_panther.pathway_P02739.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02739	panther.pathway	P02739	De novo pyrimidine deoxyribonucleotide biosynthesis
http___identifiers.org_panther.pathway_P02740.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02740	panther.pathway	P02740	De novo pyrimidine ribonucleotides biosythesis
http___identifiers.org_panther.pathway_P02741.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02741	panther.pathway	P02741	Flavin biosynthesis
http___identifiers.org_panther.pathway_P02742.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02742	panther.pathway	P02742	Tetrahydrofolate biosynthesis
http___identifiers.org_panther.pathway_P02743.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02743	panther.pathway	P02743	Formyltetrahydroformate biosynthesis
http___identifiers.org_panther.pathway_P02744.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02744	panther.pathway	P02744	Fructose galactose metabolism
http___identifiers.org_panther.pathway_P02745.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02745	panther.pathway	P02745	Glutamine glutamate conversion
http___identifiers.org_panther.pathway_P02746.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02746	panther.pathway	P02746	Heme biosynthesis
http___identifiers.org_panther.pathway_P02748.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02748	panther.pathway	P02748	Isoleucine biosynthesis
http___identifiers.org_panther.pathway_P02749.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02749	panther.pathway	P02749	Leucine biosynthesis
http___identifiers.org_panther.pathway_P02750.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02750	panther.pathway	P02750	Lipoate_biosynthesis
http___identifiers.org_panther.pathway_P02752.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02752	panther.pathway	P02752	Mannose metabolism
http___identifiers.org_panther.pathway_P02753.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02753	panther.pathway	P02753	Methionine biosynthesis
http___identifiers.org_panther.pathway_P02754.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02754	panther.pathway	P02754	Methylcitrate cycle
http___identifiers.org_panther.pathway_P02755.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02755	panther.pathway	P02755	Methylmalonyl pathway
http___identifiers.org_panther.pathway_P02756.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02756	panther.pathway	P02756	N-acetylglucosamine metabolism
http___identifiers.org_panther.pathway_P02757.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02757	panther.pathway	P02757	O-antigen biosynthesis
http___identifiers.org_panther.pathway_P02758.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02758	panther.pathway	P02758	Ornithine degradation
http___identifiers.org_panther.pathway_P02759.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02759	panther.pathway	P02759	Pyridoxal-5-phosphate biosynthesis
http___identifiers.org_panther.pathway_P02762.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02762	panther.pathway	P02762	Pentose phosphate pathway
http___identifiers.org_panther.pathway_P02766.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02766	panther.pathway	P02766	Phenylethylamine degradation
http___identifiers.org_panther.pathway_P02769.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02769	panther.pathway	P02769	Purine metabolism
http___identifiers.org_panther.pathway_P02770.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02770	panther.pathway	P02770	Pyridoxal phosphate salvage pathway
http___identifiers.org_panther.pathway_P02771.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02771	panther.pathway	P02771	Pyrimidine Metabolism
http___identifiers.org_panther.pathway_P02772.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02772	panther.pathway	P02772	Pyruvate metabolism
http___identifiers.org_panther.pathway_P02773.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02773	panther.pathway	P02773	S-adenosylmethionine biosynthesis
http___identifiers.org_panther.pathway_P02774.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02774	panther.pathway	P02774	Salvage pyrimidine deoxyribonucleotides
http___identifiers.org_panther.pathway_P02775.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02775	panther.pathway	P02775	Salvage pyrimidine ribonucleotides
http___identifiers.org_panther.pathway_P02776.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02776	panther.pathway	P02776	Serine glycine biosynthesis
http___identifiers.org_panther.pathway_P02777.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02777	panther.pathway	P02777	Succinate to proprionate conversion
http___identifiers.org_panther.pathway_P02780.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02780	panther.pathway	P02780	Thiamine metabolism
http___identifiers.org_panther.pathway_P02781.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02781	panther.pathway	P02781	Threonine biosynthesis
http___identifiers.org_panther.pathway_P02782.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02782	panther.pathway	P02782	Triacylglycerol metabolism
http___identifiers.org_panther.pathway_P02785.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02785	panther.pathway	P02785	Valine biosynthesis
http___identifiers.org_panther.pathway_P02787.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02787	panther.pathway	P02787	Vitamin B6 metabolism
http___identifiers.org_panther.pathway_P02788.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P02788	panther.pathway	P02788	Xanthine and guanine salvage pathway
http___identifiers.org_panther.pathway_P04371.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04371	panther.pathway	P04371	 5-Hydroxytryptamine biosynthesis
http___identifiers.org_panther.pathway_P04372.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04372	panther.pathway	P04372	 5-Hydroxytryptamine degredation
http___identifiers.org_panther.pathway_P04373.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04373	panther.pathway	P04373	 5HT1 type receptor mediated signaling pathway
http___identifiers.org_panther.pathway_P04374.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04374	panther.pathway	P04374	 5HT2 type receptor mediated signaling pathway
http___identifiers.org_panther.pathway_P04375.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04375	panther.pathway	P04375	 5HT3 type receptor mediated signaling pathway
http___identifiers.org_panther.pathway_P04376.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04376	panther.pathway	P04376	 5HT4 type receptor mediated signaling pathway
http___identifiers.org_panther.pathway_P04377.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04377	panther.pathway	P04377	Beta1 adrenergic receptor signaling pathway
http___identifiers.org_panther.pathway_P04378.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04378	panther.pathway	P04378	Beta2 adrenergic receptor signaling pathway
http___identifiers.org_panther.pathway_P04379.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04379	panther.pathway	P04379	Beta3 adrenergic receptor signaling pathway
http___identifiers.org_panther.pathway_P04380.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04380	panther.pathway	P04380	Cortocotropin releasing factor receptor signaling pathway
http___identifiers.org_panther.pathway_P04384.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04384	panther.pathway	P04384	Gamma-aminobutyric acid synthesis
http___identifiers.org_panther.pathway_P04385.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04385	panther.pathway	P04385	Histamine H1 receptor mediated signaling pathway
http___identifiers.org_panther.pathway_P04386.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04386	panther.pathway	P04386	Histamine H2 receptor mediated signaling pathway
http___identifiers.org_panther.pathway_P04387.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04387	panther.pathway	P04387	Histamine synthesis
http___identifiers.org_panther.pathway_P04391.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04391	panther.pathway	P04391	Oxytocin receptor mediated signaling pathway
http___identifiers.org_panther.pathway_P04392.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04392	panther.pathway	P04392	P53 pathway feedback loops 1
http___identifiers.org_panther.pathway_P04393.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04393	panther.pathway	P04393	Ras Pathway
http___identifiers.org_panther.pathway_P04394.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04394	panther.pathway	P04394	Thyrotropin-releasing hormone receptor signaling pathway
http___identifiers.org_panther.pathway_P04395.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04395	panther.pathway	P04395	Vasopressin synthesis
http___identifiers.org_panther.pathway_P04396.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04396	panther.pathway	P04396	Vitamin D metabolism and pathway
http___identifiers.org_panther.pathway_P04397.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04397	panther.pathway	P04397	p53 pathway by glucose deprivation
http___identifiers.org_panther.pathway_P04398.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P04398	panther.pathway	P04398	p53 pathway feedback loops 2
http___identifiers.org_panther.pathway_P05726.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05726	panther.pathway	P05726	 5-arachidonylglycerol_biosynthesis
http___identifiers.org_panther.pathway_P05728.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05728	panther.pathway	P05728	Anandamide_degradation
http___identifiers.org_panther.pathway_P05729.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05729	panther.pathway	P05729	Bupropion_degradation
http___identifiers.org_panther.pathway_P05730.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05730	panther.pathway	P05730	Endogenous_cannabinoid_signaling
http___identifiers.org_panther.pathway_P05731.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05731	panther.pathway	P05731	GABA-B_receptor_II_signaling
http___identifiers.org_panther.pathway_P05734.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05734	panther.pathway	P05734	Synaptic_vesicle_trafficking
http___identifiers.org_panther.pathway_P05911.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05911	panther.pathway	P05911	Angiotensin_II-stimulated_signaling_through_G_proteins_and_beta-arrestin
http___identifiers.org_panther.pathway_P05912.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05912	panther.pathway	P05912	PNAT
http___identifiers.org_panther.pathway_P05913.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05913	panther.pathway	P05913	Enkephalin release
http___identifiers.org_panther.pathway_P05914.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05914	panther.pathway	P05914	Nicotine_degradation
http___identifiers.org_panther.pathway_P05915.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05915	panther.pathway	P05915	Opioid proenkephalin pathway
http___identifiers.org_panther.pathway_P05916.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05916	panther.pathway	P05916	untitled
http___identifiers.org_panther.pathway_P05917.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05917	panther.pathway	P05917	Opioid proopiomelanocortin pathway
http___identifiers.org_panther.pathway_P05918.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P05918	panther.pathway	P05918	p38 MAPK pathway
http___identifiers.org_panther.pathway_P06587.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P06587	panther.pathway	P06587	Nicotine pharmacodynamics pathway
http___identifiers.org_panther.pathway_P06664.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P06664	panther.pathway	P06664	untitled
http___identifiers.org_reactome_R-HSA-109688.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-109688	reactome	R-HSA-109688	Cleavage of Growing Transcript in the Termination Region
http___identifiers.org_reactome_R-HSA-109704.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-109704	reactome	R-HSA-109704	PI3K Cascade
http___identifiers.org_reactome_R-HSA-110056.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110056	reactome	R-HSA-110056	MAPK3 (ERK1) activation
http___identifiers.org_reactome_R-HSA-110312.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110312	reactome	R-HSA-110312	Translesion synthesis by REV1
http___identifiers.org_reactome_R-HSA-110314.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110314	reactome	R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex
http___identifiers.org_reactome_R-HSA-110320.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110320	reactome	R-HSA-110320	Translesion Synthesis by POLH
http___identifiers.org_reactome_R-HSA-110328.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110328	reactome	R-HSA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine
http___identifiers.org_reactome_R-HSA-110329.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110329	reactome	R-HSA-110329	Cleavage of the damaged pyrimidine
http___identifiers.org_reactome_R-HSA-110330.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110330	reactome	R-HSA-110330	Recognition and association of DNA glycosylase with site containing an affected purine
http___identifiers.org_reactome_R-HSA-110331.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110331	reactome	R-HSA-110331	Cleavage of the damaged purine
http___identifiers.org_reactome_R-HSA-110357.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110357	reactome	R-HSA-110357	Displacement of DNA glycosylase by APEX1
http___identifiers.org_reactome_R-HSA-110362.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110362	reactome	R-HSA-110362	POLB-Dependent Long Patch Base Excision Repair
http___identifiers.org_reactome_R-HSA-110373.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110373	reactome	R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway
http___identifiers.org_reactome_R-HSA-110381.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-110381	reactome	R-HSA-110381	Resolution of AP sites via the single-nucleotide replacement pathway
http___identifiers.org_reactome_R-HSA-111367.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111367	reactome	R-HSA-111367	SLBP independent Processing of Histone Pre-mRNAs
http___identifiers.org_reactome_R-HSA-111446.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111446	reactome	R-HSA-111446	Activation of BIM and translocation to mitochondria
http___identifiers.org_reactome_R-HSA-111447.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111447	reactome	R-HSA-111447	Activation of BAD and translocation to mitochondria
http___identifiers.org_reactome_R-HSA-111448.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111448	reactome	R-HSA-111448	Activation of NOXA and translocation to mitochondria
http___identifiers.org_reactome_R-HSA-111452.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111452	reactome	R-HSA-111452	Activation and oligomerization of BAK protein
http___identifiers.org_reactome_R-HSA-111453.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111453	reactome	R-HSA-111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
http___identifiers.org_reactome_R-HSA-111457.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111457	reactome	R-HSA-111457	Release of apoptotic factors from the mitochondria
http___identifiers.org_reactome_R-HSA-111458.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111458	reactome	R-HSA-111458	Formation of apoptosome
http___identifiers.org_reactome_R-HSA-111459.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111459	reactome	R-HSA-111459	Activation of caspases through apoptosome-mediated cleavage
http___identifiers.org_reactome_R-HSA-111463.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111463	reactome	R-HSA-111463	SMAC binds to IAPs
http___identifiers.org_reactome_R-HSA-111464.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111464	reactome	R-HSA-111464	SMAC-mediated dissociation of IAP:caspase complexes
http___identifiers.org_reactome_R-HSA-111465.sbgn	pathwayCommons	http://identifiers.org/reactome/R-HSA-111465	reactome	R-HSA-111465	Apoptotic cleavage of cellular proteins
